,curriculum_pubmedbert_lw0.05,row2_biobert_wasserstein_only,row3b_biobert_lw0.001,row3c_biobert_lw0.005,row4_biobert_lw0.1,row5_biobert_lw1.0,row6_pubmedbert_lw0.001
curriculum_pubmedbert_lw0.05,1.0,0.01481228694319725,0.028245534747838974,0.027170736342668533,0.019846679642796516,0.02097335085272789,0.5927650928497314
row2_biobert_wasserstein_only,0.01481228694319725,1.0,0.6718886494636536,0.6702420115470886,0.6880360841751099,0.6527179479598999,0.01832185871899128
row3b_biobert_lw0.001,0.028245534747838974,0.6718886494636536,1.0,0.8309544920921326,0.7869277596473694,0.6676035523414612,0.030067820101976395
row3c_biobert_lw0.005,0.027170736342668533,0.6702420115470886,0.8309544920921326,1.0,0.7846051454544067,0.64244544506073,0.03135645017027855
row4_biobert_lw0.1,0.019846679642796516,0.6880360841751099,0.7869277596473694,0.7846051454544067,1.0,0.6777116656303406,0.024725457653403282
row5_biobert_lw1.0,0.02097335085272789,0.6527179479598999,0.6676035523414612,0.64244544506073,0.6777116656303406,1.0,0.024755600839853287
row6_pubmedbert_lw0.001,0.5927650928497314,0.01832185871899128,0.030067820101976395,0.03135645017027855,0.024725457653403282,0.024755600839853287,1.0
