model,spearman_corr,pearson_corr
curriculum_pubmedbert_lw0.05,0.1160520742202034,0.21510952855215232
row2_biobert_wasserstein_only,0.03718665641973789,0.16273380349089098
row3b_biobert_lw0.001,0.09833162050184754,0.2127810468445988
row3c_biobert_lw0.005,0.08511167609804646,0.2002039712586613
row4_biobert_lw0.1,0.08505874299926028,0.2032301232926321
row5_biobert_lw1.0,0.05087340483750327,0.1893687801858452
row6_pubmedbert_lw0.001,0.1467941273616686,0.2531261081333794
