model,cosine_similarity,neighbor_overlap,cluster_stability_ARI
curriculum_pubmedbert_lw0.05,1.0,1.0,1.0
row2_biobert_wasserstein_only,0.014812287,0.2089887640449438,0.4945504549134389
row3b_biobert_lw0.001,0.028245535,0.2650882825040129,0.534066257797582
row3c_biobert_lw0.005,0.027170736,0.2700642054574639,0.6069358012550331
row4_biobert_lw0.1,0.01984668,0.2607544141252006,0.5437959422654812
row5_biobert_lw1.0,0.02097335,0.22319422150882826,0.6050997627060601
row6_pubmedbert_lw0.001,0.5927651,0.40304975922953457,0.5286445009297233
